timestamp,actual_x,actual_y,actual_z,actual_qx,actual_qy,actual_qz,actual_qw,desired_x,desired_y,desired_z,desired_qx,desired_qy,desired_qz,desired_qw,ee_x,ee_y,ee_z,ee_roll,ee_pitch,ee_yaw,ee_vx,ee_vy,ee_vz,ee_wx,ee_wy,ee_wz,jv1,jv2,jv3,jv4,tau1,tau2,tau3,tau4,Ktx,Kty,Ktz,Krx,Kry,Krz,Dtx,Dty,Dtz,Drx,Dry,Drz,manip_condition_number,manip_det,manip_yoshikawa,manip_sigma_min,manip_sigma_max,eig0,eig1,eig2,eig3,eig4,eig5,contact_frame_id,contact_fx,contact_fy,contact_fz,contact_tx,contact_ty,contact_tz,contact_valid,waypoint_active
3.7,0.28735559131154764,0.0009354167678152592,0.19486781569579908,1.841558695376168e-06,-0.0010841904142309268,0.0016985530699454774,0.9999979697205506,0.2880531796017038,0.001079037446609219,0.19534765301186463,1.8340682012452516e-08,-0.0061452776472822246,2.9844600600664086e-06,0.9999811175985925,0.28735559131154764,0.0009354167678152592,0.19486781569579908,0.0,-0.0021683843812638835,0.003397109769988304,0.0019049221407271561,0.0016450200515040411,-0.00423176733323506,-4.903575177202831e-05,0.014434494750536441,0.005950596026864608,0.005950596026864608,0.01614534857490471,1.283066263238486e-05,-0.0017236011970048412,0.0006525560498128767,-0.44126352219340875,-0.3570253405968156,-0.06360753206107124,15.0,15.0,25.0,15.0,15.0,15.0,2.0,2.0,3.0,0.8,0.8,0.8,inf,2.7290914668017893e-47,5.224070698987322e-24,0.0,1.7736784005033273,-2.555469188704204e-16,-1.887641415346259e-16,0.004664181377167108,0.01751077422204094,1.0758215766710624,3.1459350684120415,world,0.006225387252132329,0.0015308185240721062,0.011333097291757861,0.0,0.0,0.0,1,0
3.8,0.28755593890006614,0.0011067115815163453,0.19442791736539258,6.73320014784794e-07,-0.0003352961695803491,0.0020081309612503175,0.9999979274908865,0.28836408374654104,0.0012631748852907354,0.19490633293355142,1.8340682012452516e-08,-0.0061452776472822246,2.9844600600664086e-06,0.9999811175985925,0.28755593890006614,0.0011067115815163453,0.19442791736539258,0.0,-0.0006705937038420459,0.004016264847590988,0.002102635465748897,0.001781495094561225,-0.004562464831618505,-6.227149160571844e-05,0.015504743623095358,0.006434344022839468,0.006434344022839468,0.017851176628620895,-0.0004929688525403819,-0.0018533391034156917,0.0007017815988008285,-0.4418629573039697,-0.3570218983573683,-0.06362554973799107,15.0,15.0,25.0,15.0,15.0,15.0,2.0,2.0,3.0,0.8,0.8,0.8,inf,-7.498406561172879e-43,0.0,0.0,1.773680145025636,-2.546124863169273e-17,5.528136994414659e-16,0.0046640805610889445,0.01751102025124552,1.0759323002736225,3.1459412568581615,world,0.0075642133009429305,0.001711998878890204,0.011440949932291547,0.0,0.0,0.0,1,0
3.9,0.28777603302456145,0.001291573770514759,0.19395530740913364,-1.0913124381304184e-06,0.00046603526979314925,0.0023416882760637307,0.9999971496489147,0.28869773586406544,0.0014607851370413202,0.19443272271934137,1.8340682012452516e-08,-0.0061452776472822246,2.9844600600664086e-06,0.9999811175985925,0.28777603302456145,0.001291573770514759,0.19395530740913364,0.0,0.000932073128843124,0.004683381340949921,0.0023000676709345833,0.0019156501697545631,-0.004886119455570012,-7.742906289789248e-05,0.016532605643020865,0.006907185496458145,0.006907185496458145,0.0195675863822398,-0.0010342266577262338,-0.0020005727662470753,0.0007497124779566274,-0.4425437917398047,-0.35702111365610595,-0.06364707840180697,15.0,15.0,25.0,15.0,15.0,15.0,2.0,2.0,3.0,0.8,0.8,0.8,inf,-6.273083772234018e-46,0.0,0.0,1.77368280039,-1.439753764943837e-17,1.3570909134316579e-16,0.004663710606625733,0.01751203504194166,1.0760540885535677,3.1459506763993126,world,0.008978919679871515,0.0018948988935198225,0.011525787998035773,0.0,0.0,0.0,1,0
4.0,0.2880158083829444,0.001489730200188817,0.19345072339156608,-3.555780563839393e-06,0.0013176329433589277,0.0026986002039655396,0.9999954906836942,0.28905362148689523,0.0016715635011758541,0.19392755264185663,1.8340682012452516e-08,-0.0061452776472822246,2.9844600600664086e-06,0.9999811175985925,0.2880158083829444,0.001489730200188817,0.19345072339156608,0.0,0.0026352762449217606,0.005397211644003086,0.0024964929588621293,0.0020468871927925287,-0.005202062774354549,-9.453821889066512e-05,0.017515952154882386,0.007366801707756664,0.007366801707756664,0.021289202272971486,-0.001608581272238379,-0.0021644137238435134,0.0007961646824479479,-0.44330669307979015,-0.3570226140806416,-0.06367197174824872,15.0,15.0,25.0,15.0,15.0,15.0,2.0,2.0,3.0,0.8,0.8,0.8,inf,-1.5618130908791675e-45,0.0,0.0,1.7736864321891395,-1.9652531198780833e-16,-8.090279766239924e-17,0.004663053964295137,0.017513868489021794,1.0761869457733602,3.145963559731839,world,0.010461356858787386,0.0020787632459785886,0.011593847294832777,0.0,0.0,0.0,1,0
4.1,0.2882751295079803,0.001700866856522992,0.1929149674575269,-6.82502269358866e-06,0.002217224573232317,0.003078160717528364,0.9999928043717154,0.2894311918651951,0.0018951849727343601,0.1933916016367414,1.8340682012452516e-08,-0.0061452776472822246,2.9844600600664086e-06,0.9999811175985925,0.2882751295079803,0.001700866856522992,0.1929149674575269,0.0,0.0044344737884971655,0.006156346289801108,0.0026912354546868755,0.0021749376067253467,-0.005509692854203922,-0.00011360420131316424,0.01845295256949516,0.007812094492148443,0.007812094492148443,0.023010927783697423,-0.0022137306080889027,-0.0023438949116072576,0.0008410969184655253,-0.44415198158911584,-0.3570259939664925,-0.06370006241793813,15.0,15.0,25.0,15.0,15.0,15.0,2.0,2.0,3.0,0.8,0.8,0.8,inf,9.874167109547023e-61,9.936884375671795e-31,0.0,1.7736911016745274,-1.5794764047081791e-16,3.1395200610535593e-16,0.004662094270138203,0.01751656708619706,1.0763308401327152,3.1459801241593985,world,0.012003847431513106,0.0022629710635421523,0.011650009317914291,0.0,0.0,0.0,1,0
4.2,0.2885537966450556,0.0019246514828933595,0.19234889708045783,-1.1004280143188129e-05,0.003162455466448103,0.003479624808083221,0.9999889454216598,0.28982986481280865,0.002131304743616102,0.19282569610159897,1.8340682012452516e-08,-0.0061452776472822246,2.9844600600664086e-06,0.9999811175985925,0.2885537966450556,0.0019246514828933595,0.19234889708045783,0.0,0.006324959766912393,0.006959298460817998,0.0028836830837533573,0.002299613985706487,-0.005808494172543471,-0.00013460960779436936,0.019342098261068582,0.008242283697948676,0.008242283697948676,0.024728060343240144,-0.002847425934045196,-0.0025380677520177586,0.0008844133109214428,-0.44507969707314227,-0.35703085482654284,-0.06373118260058432,15.0,15.0,25.0,15.0,15.0,15.0,2.0,2.0,3.0,0.8,0.8,0.8,inf,-4.1011328318276025e-45,0.0,0.0,1.7736968657463539,-2.8852875087055816e-16,1.116791111009349e-16,0.004660816334795506,0.01752017395493288,1.0764857067221256,3.146000571558439,world,0.013599166318369311,0.00244700855044562,0.011698047251512382,0.0,0.0,0.0,1,0
4.3,0.28885155168191035,0.0021607318802229648,0.19175341911474744,-1.6197927628763294e-05,0.004150898802032987,0.0039022066129551333,0.9999837711484684,0.2902490256049471,0.002379558734248686,0.19223070862174693,1.8340682012452516e-08,-0.0061452776472822246,2.9844600600664086e-06,0.9999811175985925,0.28885155168191035,0.0021607318802229648,0.19175341911474744,0.0,0.008301884653182148,0.007804500269899429,0.003073277149858205,0.0024206880089179534,-0.006097991037608922,-0.00015751373677745046,0.020182014639203296,0.00865646637815534,0.00865646637815534,0.026436191661584285,-0.0035075288552001566,-0.002746033506060303,0.0009260183998315308,-0.44608963059145623,-0.35703681219421624,-0.06376516756344636,15.0,15.0,25.0,15.0,15.0,15.0,2.0,2.0,3.0,0.8,0.8,0.8,inf,7.356317103349937e-46,2.7122531414582117e-23,1.4350862600141195e-08,1.7737037771257882,2.0594725736813127e-16,2.9860175237793244e-16,0.004659206095871436,0.01752472897671272,1.0766514504309408,3.146025088990288,world,0.015240513633642849,0.0026304278180867917,0.011740846723140077,0.0,0.0,0.0,1,0
4.4,0.2891680830206022,0.002408734462748768,0.19112948634948596,-2.250828807711882e-05,0.005180061932956327,0.004345078089611353,0.9999771431128528,0.29068802792605014,0.0026395641549723605,0.19160755662475365,1.8340682012452516e-08,-0.0061452776472822246,2.9844600600664086e-06,0.9999811175985925,0.2891680830206022,0.002408734462748768,0.19112948634948596,0.0,0.010360268002100001,0.008690300121360297,0.0032595044916629134,0.002537949135823739,-0.006377739925978085,-0.0001822528115961156,0.020971453348811512,0.009053830433463639,0.009053830433463639,0.028131145534824327,-0.004191982575563146,-0.0029669176896503884,0.0009658358257351423,-0.44718133593989046,-0.3570434905009021,-0.06380185287168466,15.0,15.0,25.0,15.0,15.0,15.0,2.0,2.0,3.0,0.8,0.8,0.8,inf,-1.1915449579936352e-40,0.0,4.79907189489559e-09,1.7737118845202446,2.303109105237675e-17,1.2716325927715966e-15,0.004657250568817903,0.01753026893012384,1.0768279482470289,3.1460538492883576,world,0.01692148395901575,0.002812842823372034,0.011780582898099797,0.0,0.0,0.0,1,0
4.5,0.2895030299307746,0.002668266408911363,0.19047809449929615,-3.0034487007961804e-05,0.006247392506828775,0.004807374238798209,0.9999689286861483,0.2911461948663583,0.0029109200962739432,0.19095720096583146,1.8340682012452516e-08,-0.0061452776472822246,2.9844600600664086e-06,0.9999811175985925,0.2895030299307746,0.002668266408911363,0.19047809449929615,0.0,0.012495010686969878,0.009614973155541943,0.00344189368729297,0.0026512081537431263,-0.006647324627932341,-0.00020874058527813733,0.021709280861441378,0.009433667762149718,0.009433667762149718,0.029808948023638197,-0.004898796512699467,-0.003199867124204246,0.0010037948448997345,-0.44835414642600785,-0.3570505246848444,-0.0638410749723917,15.0,15.0,25.0,15.0,15.0,15.0,2.0,2.0,3.0,0.8,0.8,0.8,inf,1.0770042873268661e-44,1.0377881707395138e-22,0.0,1.7737212327424714,-1.7994325607861415e-16,7.679453909580316e-17,0.004654937810168285,0.017536827593060675,1.0770150512663896,3.1460870114814723,world,0.0186360344436829,0.00299392172478567,0.011818864321973948,0.0,0.0,0.0,1,0
4.6,0.2898559865310708,0.002938916878620936,0.1898002797645951,-3.8871340098497786e-05,0.007350283842760578,0.005288196660757157,0.9999590025558683,0.29162281996565814,0.0031932081469602113,0.1902806444462678,1.8340682012452516e-08,-0.0061452776472822246,2.9844600600664086e-06,0.9999811175985925,0.2898559865310708,0.002938916878620936,0.1898002797645951,0.0,0.01470090563103366,0.010576728344216415,0.0036200113445837598,0.0027602846506612393,-0.006906350961930218,-0.00023686901627896823,0.022394466027811026,0.009795329190734363,0.009795329190734363,0.03146579745162553,-0.005626033554342703,-0.0034440452081749666,0.0010398295874033076,-0.4496071885884393,-0.35705756064978084,-0.06388267115162939,15.0,15.0,25.0,15.0,15.0,15.0,2.0,2.0,3.0,0.8,0.8,0.8,inf,-0.0,-0.0,0.0,1.7737318628089564,-7.130770141663902e-17,3.5318558702963575e-16,0.004652256887124773,0.017544435827057673,1.077212586483575,3.1461247211437304,world,0.02037845228148224,0.0031733759012605996,0.011856850858387146,0.0,0.0,0.0,1,0
