stamp_sec,stamp_nsec,valid,fx,fy,fz,magnitude
360,869000000,1,0.14080331754100353,0.3974601262135748,-0.023167102226631767,0.4222994681335067
360,889000000,1,0.14134937509227682,0.39859038280761505,-0.023292481629192778,0.4235522149701788
360,909000000,1,0.14188484782867802,0.39971813132381273,-0.023411324119066764,0.4247987578246621
360,929000000,1,0.14240982488772158,0.40084332790960553,-0.023523584163507506,0.4260390718773299
360,949000000,1,0.14292439575535404,0.4019660726109615,-0.023629219949215068,0.42727326907697166
360,969000000,1,0.14342864905166922,0.40308648314843437,-0.023728193566351818,0.4285014789188974
360,989000000,1,0.14392267354029584,0.40420453406347107,-0.023820470388382167,0.4297236974219343
361,9000000,1,0.144406410680402,0.4053199263585287,-0.023906005211269697,0.4309396143707855
361,29000000,1,0.14487952406298638,0.4064319430350023,-0.02398473324038273,0.4321484331112831
361,49000000,1,0.14534214197818562,0.40754076853287535,-0.02405662875225805,0.4333503636067446
361,69000000,1,0.1457944015385132,0.40864636739225213,-0.024121666036317598,0.4345454129032136
361,89000000,1,0.14623644141894632,0.40974876298675195,-0.024179822694274516,0.43573364500985795
361,109000000,1,0.14666839727490832,0.4108481545952256,-0.024231080863611597,0.4369152894707527
361,129000000,1,0.14709040236633636,0.41194462508429536,-0.024275426489382315,0.43809046661091905
361,149000000,1,0.14750258824168205,0.4130381247789702,-0.024312848778875278,0.43925917255609787
361,169000000,1,0.14790463375479848,0.41412778408329465,-0.024343295951114403,0.4404204789671395
361,189000000,1,0.14829654650711255,0.41521358007801706,-0.024366753502719062,0.44157436685500934
361,209000000,1,0.14867849920579618,0.41629560784064623,-0.024383217885414782,0.4427209849871007
361,229000000,1,0.1490506686559014,0.41737380030481835,-0.024392687908436766,0.44386033189625773
361,249000000,1,0.14941322827429937,0.4184483168827202,-0.024395166513308395,0.44499261885400004
361,269000000,1,0.14976634609795675,0.4195193936912489,-0.024390660827345378,0.44611812834965653
361,289000000,1,0.15011018700843168,0.4205870279578677,-0.024379180912894583,0.4472369179664422
361,309000000,1,0.15044473376364934,0.4216508289784867,-0.02436072340946409,0.44834861920217034
361,329000000,1,0.15076962808362426,0.42270995817746004,-0.0243352614399388,0.4494523272208239
361,349000000,1,0.15108507382537104,0.4237647346222655,-0.02430281349788381,0.4505484175826277
361,369000000,1,0.1513912834519905,0.4248151207923381,-0.024263397746141734,0.45163693386307235
361,389000000,1,0.1516884686162069,0.42586111676993865,-0.024217035537018722,0.4527179553517516
361,409000000,1,0.1519768331861909,0.42690302997721846,-0.024163752936852644,0.45379184852201393
361,429000000,1,0.1522565743431093,0.42794104650419185,-0.02410357945635728,0.45485886410667054
361,449000000,1,0.15252788470854567,0.4289750881870042,-0.024036546928975777,0.45591900320888173
361,469000000,1,0.15279036516171404,0.4300039173787102,-0.023962637105149235,0.4569709756913667
361,489000000,1,0.1530440418643374,0.4310275630233108,-0.023881874913641334,0.4580148281282802
361,509000000,1,0.15328915386319128,0.4320462328134534,-0.02379429754638474,0.45905084748436725
361,529000000,1,0.15352594420622018,0.4330597917778427,-0.02369994419303936,0.4600789999052696
361,549000000,1,0.15375464887218968,0.43406841191257667,-0.02359885819719182,0.46109953847117197
361,569000000,1,0.15397549264989296,0.4350725032803418,-0.023491087214321478,0.46211293708996193
361,589000000,1,0.15418869326006354,0.4360721299711451,-0.023376680978247372,0.4631193419415518
361,609000000,1,0.15439426180020885,0.4370667473484353,-0.023255674769465457,0.4641182566152247
361,629000000,1,0.1545918231341718,0.4380553594010315,-0.02312808011294414,0.4651086300743351
361,649000000,1,0.15478162918877944,0.4390384945048609,-0.022993952467971247,0.4660910578862535
361,669000000,1,0.15496393977513942,0.4400161451770304,-0.02285334677502546,0.4670656336168463
361,689000000,1,0.15513901235143937,0.4409882069645771,-0.022706320479716432,0.46803235873702187
361,709000000,1,0.15530709152166816,0.44195507192820865,-0.022552935653324124,0.4689916984196745
361,729000000,1,0.155468409844823,0.4429171197790171,-0.022393257312463846,0.46994410244845103
361,749000000,1,0.15562319302116276,0.44387425998686636,-0.022227351173320725,0.47088957519271163
361,769000000,1,0.15577099461620442,0.444825015709653,-0.02205523716367765,0.47182658980939246
361,789000000,1,0.15591184739869268,0.44576950780340535,-0.0218769722790722,0.4727552857056839
361,809000000,1,0.15604602282256966,0.4467081412103148,-0.021692623916830644,0.4736761494889874
361,829000000,1,0.15617379646971954,0.44764071945881634,-0.021502261030956177,0.4745891019090256
361,849000000,1,0.15629543476755975,0.44856730904187975,-0.021305956203004277,0.4754943085253262
361,869000000,1,0.15641118711693086,0.4494884797101856,-0.021103786355678625,0.47639240405998035
361,889000000,1,0.15652129137596024,0.4504044731020109,-0.020895829600699897,0.47728370990323965
361,909000000,1,0.15662574439447635,0.45131457415404397,-0.020682148025715566,0.4781675646652829
361,929000000,1,0.1567240919791431,0.4522174961294214,-0.02046277919756961,0.47904261829688877
361,949000000,1,0.15681660852035775,0.4531139952877687,-0.020237802430384262,0.47990968950489266
361,969000000,1,0.15690357571012592,0.4540042251386218,-0.02000729696664209,0.4807690302486788
361,989000000,1,0.1569852735423845,0.4548879247993135,-0.019771343521463643,0.4816205002510243
362,9000000,1,0.15706196589491087,0.45576541701613704,-0.019530027020268268,0.48246450484370335
362,29000000,1,0.15713389793370788,0.4566373304728096,-0.01928343535011277,0.4833017321922991
362,49000000,1,0.15720130466231114,0.45750370717517463,-0.019031655673303408,0.48413231268345214
362,69000000,1,0.15726369208816537,0.4583625993840588,-0.018774735206889954,0.4849542576835483
362,89000000,1,0.15732108462651118,0.45921403293417223,-0.018512749989631577,0.4857676127778668
362,109000000,1,0.15737376150804885,0.4600587228135795,-0.018245785056050352,0.4865731578296997
362,129000000,1,0.15742200559111133,0.4608965546546588,-0.017973926810579792,0.48737088955112495
362,149000000,1,0.15746609139366133,0.4617273593912886,-0.01769726391522406,0.48816074965049594
362,169000000,1,0.15750627194337605,0.46255172205739226,-0.01741588918683739,0.48894338575741875
362,189000000,1,0.15754278225219256,0.4633702114788031,-0.017129896484272347,0.48971942424130405
362,209000000,1,0.15757560433350662,0.46418208929259036,-0.016839367637077912,0.49048817254192867
362,229000000,1,0.1576042497513597,0.46498561290469703,-0.016544366884926904,0.4912478354391689
362,249000000,1,0.15762899003908148,0.46578162285463276,-0.016244981480121507,0.49199930702504624
362,269000000,1,0.15765009979975117,0.4665706228371189,-0.01594130084744633,0.49274316345759417
362,289000000,1,0.15766785271951242,0.4673523392115243,-0.015633415063460582,0.49347924415745387
362,309000000,1,0.15768250750717613,0.4681268157310125,-0.015321417044975761,0.49420768367203083
362,329000000,1,0.15769429899771265,0.4688947878578103,-0.015005402890642072,0.4949292637665623
362,349000000,1,0.1577034463052691,0.4696566607144387,-0.014685467746636325,0.4956444480602337
362,369000000,1,0.15770937519881917,0.47041037657798823,-0.014361676527405609,0.49635111279267263
362,389000000,1,0.15771208059083114,0.4711556578062946,-0.014034109987401787,0.49704900210171377
362,409000000,1,0.15771183265079003,0.4718933670181321,-0.013702856008770303,0.4977390282633837
362,429000000,1,0.15770890140371066,0.4726237540507565,-0.013368005580912052,0.4984215224568524
362,449000000,1,0.1577035505925191,0.4733465513354472,-0.01302965060857436,0.4990963226929546
362,469000000,1,0.1576960235685195,0.47406203805957736,-0.012687885793854334,0.4997637784238081
362,489000000,1,0.1576865396649043,0.4747709587205121,-0.012342807380169457,0.5004246725831069
362,509000000,1,0.15767504295677284,0.4754728505567902,-0.011994503888712774,0.5010785556293108
362,529000000,1,0.15766097710724386,0.47616558346770516,-0.01164305062485598,0.5017232376613664
362,549000000,1,0.15764460275047984,0.4768497407419048,-0.011288529940039278,0.5023593603489295
362,569000000,1,0.1576261797985344,0.4775260362102168,-0.010931029495447293,0.5029876889371663
362,589000000,1,0.15760596370897242,0.47819453309099125,-0.010570638692450677,0.5036083693477615
362,609000000,1,0.15758419753864958,0.47885512364513055,-0.010207448040005807,0.5042213806956056
362,629000000,1,0.15756110113574717,0.4795082756073194,-0.009841550049935607,0.5048272408204608
362,649000000,1,0.1575368726252329,0.4801546229662928,-0.00947303690330326,0.5054266184329956
362,669000000,1,0.15751087900780103,0.48079238042515593,-0.009101989314317743,0.5060176244857247
362,689000000,1,0.15748308502210726,0.4814210945708877,-0.008728484069468766,0.5065998211607095
362,709000000,1,0.15745374531085388,0.4820413740146514,-0.008352599902640905,0.5071738696931082
362,729000000,1,0.15742310957829808,0.4826536964676829,-0.007974421503786617,0.5077403052166916
362,749000000,1,0.15739141802005208,0.48325810193040214,-0.007594035199782589,0.508299243476078
362,769000000,1,0.15735889344946852,0.48385469710033774,-0.007211528228896206,0.5088508577108787
362,789000000,1,0.15732573551211754,0.48444397987586507,-0.006826988340734768,0.5093956855551496
362,809000000,1,0.1572918521398401,0.48502566685517295,-0.006440504137879587,0.5099334312941608
362,829000000,1,0.15725662687990144,0.48559780050597584,-0.006052162330952361,0.5104620448405212
362,849000000,1,0.15722029961487297,0.4861608310099294,-0.0056620304444215805,0.5109820298288474
362,869000000,1,0.15718311203901872,0.4867152472588807,-0.005270183294127266,0.5114939270964004
362,889000000,1,0.15714529728162846,0.48726129445371286,-0.004876699925264736,0.5119980427038763
362,909000000,1,0.15710707317426192,0.4877991285881471,-0.004481661050795274,0.5124945927309993
362,929000000,1,0.15706863678999675,0.4883290995406163,-0.004085147771790277,0.5129839710493247
362,949000000,1,0.1570301645992789,0.4888516421792621,-0.003687239941562775,0.513466645843549
362,969000000,1,0.15699098213557708,0.4893649199701065,-0.00328802836290881,0.513940662430749
362,989000000,1,0.15695102191539703,0.4898686828382428,-0.0028875801547646194,0.5144057618506159
363,9000000,1,0.15691051525916205,0.4903634874047411,-0.002485958107002167,0.5148625443420265
363,29000000,1,0.15686969074017126,0.49084962705812346,-0.002083232106494268,0.5153113584154976
363,49000000,1,0.15682876478464364,0.49132722842888427,-0.0016794753502631101,0.5157523897151988
363,69000000,1,0.15678793371667163,0.49179661617940557,-0.0012747624035761454,0.5161860060713023
363,89000000,1,0.1567473719919574,0.4922582785779595,-0.0008691671355013841,0.5166127242978347
363,109000000,1,0.15670695279485572,0.4927118184281545,-0.00046277113900225855,0.5170321259169055
363,129000000,1,0.15666600196629393,0.49315539847088197,-5.566600106516673e-05,0.5174422540842416
363,149000000,1,0.15662473590834963,0.49358963191411626,0.00035209982155756105,0.517843756943885
363,169000000,1,0.15658337435473282,0.4940150418481824,0.0007604684509820055,0.5182371976313942
363,189000000,1,0.15654213023185393,0.49443177084388445,0.0011693767795835546,0.5186227742776043
363,209000000,1,0.156501200500423,0.49483994940975917,0.0015787591960599934,0.5190006683719451
