timestamp,event_type,joint_names,joint_positions,joint_velocities,joint_efforts
26.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.003603130211532246;-0.6681969916928674;1.0415329357198386;-0.38601565928506076,,
26.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.0035079583607737774;-0.6782439205836406;1.0439017932429717;-0.37825365628093977,,
27.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.0034716147883928627;-0.685369686109051;1.0453272097856772;-0.37248590690873407,,
27.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.0034842189025621195;-0.6904695909022065;1.0462342007869667;-0.36824185892540306,,
28.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.003475044580190989;-0.6941410879221186;1.0468381836890996;-0.36513635331156813,,
28.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.0034695608217116813;-0.6967942207947013;1.0472540053417925;-0.36287112533049104,,
29.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.002840951559073268;-0.697687996692915;1.0478339246504182;-0.3624850647314739,,
29.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.0029416639146537804;-0.6960263323015417;1.0465542780893768;-0.36284461687251834,,
30.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.003126025967594259;-0.6902508775013256;1.042461087179837;-0.36447735155518046,,
30.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.003392316350669944;-0.6786055607273669;1.0346894713569883;-0.368269686829656,,
31.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.0037249148238762686;-0.6593959308973263;1.022426826363625;-0.37510569531537286,,
31.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.004119628632885508;-0.6314004210086939;1.0050669831752161;-0.3856132993377077,,
32.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.004567490088602355;-0.5943010423489978;0.9823370035382082;-0.3998605654927907,,
32.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.005055611652466929;-0.5489112946295753;0.9543385633913255;-0.41716337290013605,,
33.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.0055679383615840905;-0.49703887282099934;0.9214853306375863;-0.436149737778706,,
33.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.006083569619297791;-0.44099823633768676;0.8843537315889138;-0.45508927322956616,,
34.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.0065827099428164;-0.3830119347812291;0.8435211767907917;-0.47232853594564617,,
34.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.007042213963898369;-0.3248000859074125;0.7994780703866846;-0.4866197016900422,,
35.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.007444019469343921;-0.2674849854261039;0.7526414462618893;-0.4972378013718739,,
35.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.007771918903110908;-0.21171825443152947;0.7034216478384332;-0.5039256434298469,,
36.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.008013397466799965;-0.1578633246900889;0.6522768338491067;-0.5067674013365906,,
36.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.00815883106417381;-0.10614370384103378;0.5997386940798508;-0.5060651435498968,,
37.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.008204980298898157;-0.056731050161219265;0.5464101843382965;-0.5022473500288207,,
37.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.008150646954155683;-0.009787119447395298;0.4929492596602332;-0.49580915448802987,,
38.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.00799825350756489;0.03451530795187274;0.4400548198075187;-0.4872765657477931,,
38.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.00775738051954189;0.07598903617845654;0.38844617866021647;-0.4771824401883906,,
39.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.007439296928208883;0.11443745513777959;0.33884106425412863;-0.46604887901311454,,
39.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.007059441111102238;0.14966541495509134;0.29192943221247614;-0.45437199203957324,,
40.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.00663801956209209;0.1814982122498714;0.24833802484185075;-0.4426057060563249,,
40.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.006197291037271846;0.20980548549183808;0.2085890582740353;-0.4311440966726767,,
41.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.005763166201435688;0.23452811506404636;0.17305637171106714;-0.42030476480661605,,
41.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.005360606454673622;0.25570256352864806;0.1419275788694696;-0.41031485964517067,,
42.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.005013470350715643;0.2734731130063963;0.11518692273249886;-0.4013061212877025,,
42.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.004749116837301948;0.2880776445667106;0.09263639061280404;-0.3933214218761556,,
43.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.004582631925781122;0.2997913277503885;0.07397696373107987;-0.38633833467431167,,
43.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.0045252721787880645;0.3088156966833182;0.058965884832086424;-0.3803153293545254,,
44.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.005387367738642901;0.3171893183789818;0.042642082551187066;-0.37239819888551295,,
44.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.005638877044376045;0.3233728960412998;0.031071330810745756;-0.36694264717825664,,
45.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.005667312002594294;0.32783286546674084;0.02279645273550468;-0.3630800903684408,,
45.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.005627837906570399;0.33104483068713364;0.01685223122299906;-0.3603143109957907,,
46.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.00560924246040706;0.33336075970151313;0.01256878652259541;-0.3583228854274756,,
46.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.005615573716617028;0.335033410990234;0.009475107758084356;-0.3568846807241899,,
47.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.00444614599686588;0.33623902275101614;0.008410122817839927;-0.35698100314877834,,
47.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.004801003948557536;0.3350809754610671;0.00968890889252716;-0.35708723331221925,,
48.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.0051208273574800955;0.330709588470369;0.014866958070618885;-0.3578522116258096,,
48.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.005447138338944946;0.3220694190217577;0.025752558981383622;-0.36002850051988133,,
49.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.005865737111201419;0.30806858340379417;0.044158742346620095;-0.3643390522441248,,
49.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.006335160268268858;0.28786995845144236;0.07150815452349413;-0.37137712349673,,
50.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.006810989940631451;0.26114926165870056;0.10839483484556656;-0.38142707465922676,,
50.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.00726324797019906;0.22822030633261736;0.15431076643414965;-0.39431306438409663,,
51.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.007669615372042138;0.18996129196125455;0.20770371335557947;-0.4093770977940121,,
51.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.00800988320102558;0.14755724415880156;0.2663803798982185;-0.4256194413509924,,
